T+8,T+0,T-1_T-4_DIFF_MEAN,T-9_T-12_DIFF_MEAN,T-1_T-4_DIFF_DIFF_MEAN,T-1_T-4_MEAN,T-5_T-8_MEAN,T-9_T-12_MEAN,POPULATION,RAIN_2_MAX,RAIN_2_MEAN,RAIN_4_MAX,RAIN_4_MEAN,RAIN_5_MAX,RAIN_5_MEAN,RAIN_6_MAX,RAIN_6_MEAN,RAIN_7_MAX,RAIN_7_MEAN,RAIN_8_MAX,RAIN_8_MEAN,RAIN_9_MAX,RAIN_9_MEAN,RAIN_10_MAX,RAIN_10_MEAN,RAIN_11_MAX,RAIN_11_MEAN,TEMP_2_-4_-7_MIN,TEMP_2_-4_-7_MEAN,TEMP_2_-8_-12_MIN,TEMP_2_-8_-12_MEAN,TEMP_3_-4_-7_MIN,TEMP_3_-4_-7_MEAN,TEMP_3_-8_-12_MIN,TEMP_3_-8_-12_MEAN,TEMP_4_-4_-7_MIN,TEMP_4_-4_-7_MEAN,TEMP_4_-8_-12_MIN,TEMP_4_-8_-12_MEAN
-0.147635525,-0.124567474,0.00307574,-0.001922337,0.007497117,-0.123702422,-0.116782007,-0.122260669,-0.578678401,0.83032046,0.118015612,0.819719276,0.111333175,0.796312341,0.101456887,0.816782862,0.111604719,0.819422594,0.115801518,0.811054643,0.107916995,0.810688747,0.107366074,0.812721744,0.108902254,0.808504807,0.106127362,-0.269709544,-0.206950208,-0.215767635,-0.158091286,0.018181508,0.185915384,0.102871265,0.205329317,0.01015124,0.183677431,0.101452822,0.204927786
-0.126874279,-0.130334487,3.84E-04,-0.00153787,-0.002883507,-0.123702422,-0.114763552,-0.126585929,-0.573495394,0.035332786,-0.080731307,0.059732996,-0.078663395,0.127607375,-0.065719355,0.078438315,-0.072981418,0.096544796,-0.064917932,0.087711067,-0.0729189,0.087401541,-0.073455728,0.085717338,-0.072848847,0.090879034,-0.073279081,-0.43153527,-0.270746888,-0.215767635,-0.161825726,0.018181508,0.289157412,0.188523138,0.264299191,0.01015124,0.286745919,0.189178566,0.26472678
-0.116493656,-0.14071511,-3.84E-04,0.00615148,-0.009803922,-0.124855825,-0.119665513,-0.121107266,-0.568312176,0.035332786,-0.065940838,0.059732996,-0.061461137,0.127607375,-0.041956375,0.078438315,-0.054223689,0.096544796,-0.045286132,0.087711067,-0.053142136,0.087401541,-0.053683365,0.085717338,-0.053366684,0.090879034,-0.053108263,-0.43153527,-0.273340249,-0.269709544,-0.184647303,-0.150592865,0.188143587,0.188523138,0.255291792,-0.14791055,0.18676204,0.189178566,0.255639631
-0.14532872,-0.102652826,-0.008458285,0.004998078,-5.77E-04,-0.127739331,-0.125432526,-0.116493656,-0.563129169,0.035332786,-0.022391126,0.059732996,-0.018877632,0.127607375,-4.87E-04,0.078438315,-0.011904221,0.096544796,-0.001947881,0.087711067,-0.010705113,0.087401541,-0.011392331,0.085717338,-0.010771965,0.090879034,-0.010694503,-0.43153527,-0.272302905,-0.269709544,-0.173029046,-0.160754918,0.14340948,0.018181508,0.212345809,-0.15869897,0.144549487,0.01015124,0.211262009
-0.14071511,-0.100346021,0.007304883,0.003460208,0.021914649,-0.124567474,-0.123702422,-0.116782007,-0.557946162,0.035332786,-0.044268694,0.059732996,-0.043407999,0.127607375,-0.03416146,0.078438315,-0.038602657,0.096544796,-0.02851956,0.087711067,-0.038489092,0.087401541,-0.039101037,0.085717338,-0.037961771,0.090879034,-0.038927571,-0.43153527,-0.306016598,-0.269709544,-0.208713693,-0.160754918,0.107366074,0.018181508,0.186436935,-0.15869897,0.108902254,0.01015124,0.184777658
-0.106113033,-0.125720877,0.009996155,-0.00615148,0.006343714,-0.118512111,-0.123702422,-0.114763552,-0.552763155,0.025061627,-0.050944947,0.015117936,-0.059099783,-0.006944293,-0.073032632,0.012500335,-0.059790003,0.023836913,-0.052655759,0.00910125,-0.063242072,0.008409219,-0.063931499,0.011679905,-0.061679906,0.007106674,-0.065083376,-0.385892116,-0.233921162,-0.43153527,-0.25186722,-0.160754918,-0.073455728,0.018181508,0.310870057,-0.15869897,-0.072848847,0.01015124,0.309486293
-0.111880046,-0.141868512,0.004998078,-0.006535948,-0.03171857,-0.117358709,-0.124855825,-0.119665513,-0.547580148,0.025061627,-0.061729663,0.015117936,-0.067984539,-0.006944293,-0.083120905,0.012500335,-0.068960098,0.023836913,-0.065533278,0.00910125,-0.07348206,0.008409219,-0.073610038,0.011679905,-0.072164505,0.007106674,-0.075504218,-0.385892116,-0.22873444,-0.43153527,-0.272614108,-0.160754918,-0.053683365,-0.150592865,0.201207356,-0.15869897,-0.053366684,-0.14791055,0.199814625
-0.126874279,-0.137254902,-0.013071895,-0.002306805,-0.00922722,-0.117647059,-0.127739331,-0.125432526,-0.542397141,0.0505341,-0.055361545,0.057806976,-0.057312279,0.122463374,-0.050768988,0.075749349,-0.053147845,0.064830588,-0.055284859,0.077403877,-0.056406403,0.075472339,-0.056844258,0.071613838,-0.057181022,0.078216849,-0.057726674,-0.385892116,-0.270746888,-0.43153527,-0.243983403,-0.071503414,-0.011392331,-0.160754918,0.118363886,-0.070503207,-0.010771965,-0.15869897,0.117669838
-0.099192618,-0.147635525,-0.01230296,0.00307574,0.014994233,-0.126297578,-0.124567474,-0.123702422,-0.537214134,0.0505341,-0.004313887,0.057806976,-9.89E-04,0.122463374,0.016201537,0.075749349,0.005699472,0.064830588,-6.38E-04,0.077403877,0.002695936,0.075472339,0.002724594,0.071613838,8.67E-04,0.078216849,0.001756403,-0.294605809,-0.200207469,-0.43153527,-0.295020747,-0.180711492,-0.039101037,-0.160754918,0.10075225,-0.179262433,-0.037961771,-0.15869897,0.101538948
-0.088811995,-0.126874279,-0.007304883,3.84E-04,0.002883506,-0.138119954,-0.118512111,-0.123702422,-0.532031127,0.191865242,0.04149548,0.213788191,0.053216189,0.207048784,0.074933061,0.214803453,0.060978102,0.240517431,0.059490994,0.216855098,0.059734923,0.220267929,0.060771653,0.221297684,0.058479854,0.217428307,0.059549526,-0.294605809,-0.209024897,-0.43153527,-0.273443984,-0.180711492,-0.063931499,-0.160754918,0.103373167,-0.179262433,-0.061679906,-0.15869897,0.104265271
